Key,Section,Weight,Area,depth,bflange,tweb,tflange,kdes,bf_2tf,h_tw,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,JModulus,Cw,Qf,Qw,rts,ho
83,W14X90,90.00,26.50,14.00,14.50,0.44,0.71,1.31,10.20,25.90,999.00,157.00,143.00,6.14,362.00,75.60,49.90,3.70,4.06,16000.00,33.20,77.10,4.10,13.30
84,W14X99,99.00,29.10,14.20,14.60,0.49,0.78,1.38,9.34,23.50,1110.00,173.00,157.00,6.17,402.00,83.60,55.20,3.71,5.37,18000.00,36.90,86.10,4.14,13.40
85,W14X109,109.00,32.00,14.30,14.60,0.53,0.86,1.46,8.49,21.70,1240.00,192.00,173.00,6.22,447.00,92.70,61.20,3.73,7.12,20200.00,40.70,94.80,4.17,13.40
86,W14X120,120.00,35.30,14.50,14.70,0.59,0.94,1.54,7.80,19.30,1380.00,212.00,190.00,6.24,495.00,102.00,67.50,3.74,9.37,22700.00,45.00,105.00,4.20,13.60
87,W14X132,132.00,38.80,14.70,14.70,0.65,1.03,1.63,7.15,17.70,1530.00,234.00,209.00,6.28,548.00,113.00,74.50,3.76,12.30,25500.00,49.50,116.00,4.23,13.70
88,W14X145,145.00,42.70,14.80,15.50,0.68,1.09,1.69,7.11,16.80,1710.00,260.00,232.00,6.33,677.00,133.00,87.30,3.98,15.20,31700.00,55.40,129.00,4.47,13.70
89,W14X159,159.00,46.70,15.00,15.60,0.75,1.19,1.79,6.54,15.30,1900.00,287.00,254.00,6.38,748.00,146.00,96.20,4.00,19.70,35600.00,61.00,143.00,4.51,13.80
90,W14X176,176.00,51.80,15.20,15.70,0.83,1.31,1.91,5.97,13.70,2140.00,320.00,281.00,6.43,838.00,163.00,107.00,4.02,26.50,40500.00,67.60,159.00,4.55,13.90
91,W14X193,193.00,56.80,15.50,15.70,0.89,1.44,2.04,5.45,12.80,2400.00,355.00,310.00,6.50,931.00,180.00,119.00,4.05,34.80,45900.00,75.00,177.00,4.59,14.10
92,W14X211,211.00,62.00,15.70,15.80,0.98,1.56,2.16,5.06,11.60,2660.00,390.00,338.00,6.55,1030.00,198.00,130.00,4.07,44.60,51500.00,81.70,194.00,4.64,14.10
